Timestamp,Question,Answer
2024-09-24 12:13:20.265536,where is bpp,BPP University is located in London.
2024-09-24 12:13:38.234035,total fee,"The total fee varies by course, approximately up to £17,100."
2024-09-24 12:14:42.111524,initial deposit,"The initial deposit is up to £5,900, depending on the intake."
2024-09-24 12:15:16.721525,where is convosoft,I don't have enough information to answer that question.
2024-09-24 14:25:12.649010,degrees what they offer,"BPP offers programs in Management, Business, Healthcare & Leadership, and Law."
2024-09-24 14:30:13.911777,deposit,"The initial deposit is up to £5,900, depending on the intake."
2024-09-24 14:30:42.382562,what requirements,I don't have enough information to answer that question.
2024-09-24 14:30:55.765190,what requirements,I don't have enough information to answer that question.
2024-09-24 14:31:39.730832,requirements,I don't have enough information to answer that question.
2024-09-24 14:31:53.940944,requirements for bpp,I don't have enough information to answer that question.
2024-09-24 14:32:05.618444,fee,"The total fee varies by course, approximately up to £17,100."
2024-09-24 14:32:20.971691,deposit requirements,"The initial deposit is up to £5,900, depending on the intake."
2024-09-24 15:55:03.928134,degree,"BPP offers programs in Management, Business, Healthcare & Leadership, and Law."
2024-09-24 17:02:18.442374,what is bpp,I don't have enough information to answer that question.
