Timestamp,Question,Answer
2024-09-27 13:16:46,where is bpp,Where Is BPP University Located? BPP University is located in London.
"2024-09-27 13:20:13","hi","Sorry, no relevant information found for your question."
"2024-09-27 13:24:39","hi","Sorry, no relevant information found for your question."
"2024-09-27 13:28:53","visa procedure for uk","I couldn't find any relevant information on the internet."
"2024-09-27 13:29:07","pakistan","I couldn't find any relevant information on the internet."
"2024-09-30 13:00:33","hi","Sorry, no relevant information found for your question."
"2024-09-30 13:00:45","what is bpp","Where Is BPP University Located? BPP University is located in London."
"2024-09-30 13:04:27","hi","Hi there! What would you like to know?"
"2024-09-30 13:06:37","hi","Greetings! How may I help you?"
"2024-09-30 13:06:48","what is day today","Sorry, no relevant information found in our database for your question. Please check the Wikipedia tab for more general information."
"2024-09-30 13:07:00","who is imran khan","Sorry, no relevant information found in our database for your question. Please check the Wikipedia tab for more general information."
"2024-09-30 13:19:52","hi","Hello! How can I assist you today?"
"2024-10-02 22:13:04","hi","Hello! How can I assist you today?"
"2024-10-02 22:13:11","what is bpp","Where Is BPP University Located? BPP University is located in London."
